c_name,c_id
TD,1
Light Up The World (LUTW),2
Glacier,3
Sprout App,4
College Pro,5
Microsoft,6
SIG Consulting,7
K3 Retail,8
"Motech Industries, Inc. Solar BU",9
Cytec Solvay Group,10
DuPont,11
UnitedHealth Group,12
Ingersoll Rand,13
Allianz,14
GE Capital,15
One Click Life formerly JUST FSG,16
Google,17
Office Depot,18
Transaction Equipment Corp,19
CMather Web Development,20
Mayne Pharma,21
Bendigo and Adelaide Bank,22
BHP,23
Australia Post,24
IBISWorld,25
Kinetic Super,26
Capability Network,27
Aristocrat,28
GU2 Radio,29
Lionhead Studios,30
Intandem Solutions Limited,31
IBM,32
KPMG US,33
Deloitte,34
Rapidigm,35
Domin-8 Enterprise Solutions,36
Mapp Digital,37
"SIA, Sistemas Informáticos Abiertos, S.A.",38
Sybari Software,39
"RedWorks, Inc.",40
Neo@Ogilvy,41
rVue,42
Norton Rose Fulbright,43
King & Wood Mallesons,44
Garfield Robbins International,45
Manchester 2002 Commonwealth Games,46
United Utilities,47
Vodafone,48
Hays,49
LG Soft India,50
LG CNS India,51
GE,52
NASSCOM,53
People10 Technologies Inc.,54
EXCEED IT Services & Training,55
Adobe,56
CitiXsys - iVend Retail,57
Nokia,58
Dassault Systèmes 3DEXCITE,59
FH OÖ Forschung & Entwicklung GmbH,60
"Interactive & Digital Media Institute, National University of Singapore",61
"Sunera Technologies, Inc. (SuneraTech)",62
Partner Development Centre Asia Pacific,63
Carpe Diem Consulting,64
PwC Consulting,65
Maersk Data,66
Ramboll,67
NNIT,68
Self Employed Independent Peoplesoft Consultant,69
KOMPAN A/S,70
LM Wind Power,71
Arla Foods,72
GRUNDFOS,73
Change Agents Worldwide,74
"Yammer, Inc.",75
Espire Infolabs,76
NexGEN Consultancy Pvt Ltd,77
Hewlett Packard Enterprise,78
Boeing,79
Top Juice,80
Pre-Uni New College,81
North Shore Coaching College,82
Blue Titan Software,83
Quick Knowledge,84
Tynan Mackenzie,85
Capgemini,86
Janssen Inc.,87
King Pharmaceuticals,88
Boston Scientific,89
St. Jude Medical,90
Abbott,91
"Keeping Tranditions, Inc.",92
SWENSON,93
"McManigal & Associates Architects, PLLC",94
Reachwerks,95
Hornall Anderson,96
Ingeniux Corporation,97
ITGROUP,98
dr.consulta,99
Concepts Systems,100
Newcastle institute of energy and resource,101
James Glen,102
NJStar Software Production,103
HEAT Software,104
MWEB,105
Microsoft South Africa,106
"Microsoft West, East & Central Africa and Indian Ocean Islands",107
A.I.M. Cash & Carry,108
CDK Digital Marketing,109
Point B,110
Strong-Bridge Consulting,111
"Expedia, Inc.",112
Nordstrom,113
Nets & Webs,114
Dimension Data,115
Federal Department of Climate Change and Energy Efficiency,116
Business Aspect,117
Deutsche Bank,118
Institute of Travel Management,119
PWA,120
Microsoft Business Solutions,121
Thomsons Online Benefits,122
Willis Towers Watson,123
"Channel Crossings, s.r.o.",124
SATPO,125
Indian School of Business,126
Toastmasters International,127
bwin,128
HCL Technologies,129
Sea Dragon Dive Center,130
MANGO,131
CCS Fundraising,132
Dell,133
Brand New School,134
Apple,135
Yahoo! Inc.,136
Bing Technologies,137
Samsung Mobile,138
Halliburton,139
SnapLogic,140
TSN - The Sports Network - Canada,141
IQ 20/20,142
Collabera Inc. ,143
Maritime Services Board of NSW,144
"CCHS, The University of Sydney",145
SydU*tech,146
University of Sydney,147
Financial Systems of Australia,148
"SumTotal Systems, LLC",149
BroadPoint Group,150
RS2i,151
Taranis Software Pty Ltd,152
Wunderman-Bienalto,153
The University of Edinburgh,154
Heriot-Watt University,155
Global Brands Group (GBG),156
The Austin Chronicle,157
The University of Texas at Austin,158
Gnap! Theatre Projects,159
University of Southern California,160
"BMW of North America, LLC",161
Worldbuilding Media Lab,162
Paralect,163
Frima,164
5d Global Studio,165
Mobius Digital Games,166
Norbury Manor High School for Girls,167
McCluskey International,168
Omnicom Media Group UK,169
Condé Nast,170
Laurentian University/Université Laurentienne,171
Atlas Copco,172
Carleton University,173
Taste Monkey Inc.,174
Università degli Studi di Trento,175
Indian Institute of Science (IISc),176
CEA,177
ABB,178
Caliverse,179
Rolls-Royce@NTU Corporate Lab,180
Jatis Solutions,181
PT. Internux (BOLT - LTE Operator),182
Asian University for Women,183
Ministry of Transport & Communications,184
Qatar Foundation,185
New York University Abu Dhabi,186
Thomson Reuters Markets,187
Colt Technology Services,188
PureAtria,189
Rational Software,190
Jisc,191
iconmobile group,192
Western Union Business Solutions,193
Registro civil Torrejon de Ardoz,194
Avon,195
Diageo,196
Fishburn Hedges,197
The Sauce Agency,198
RMIT University,199
South East Water,200
Microsoft Bing,201
Hanbit Media,202
University of Technology Sydney,203
Agility Global Health Solutions,204
Westpac,205
Ourway Event Management,206
Federal Government,207
K & H International School,208
Mahindra Comviva,209
Spread Tecnologia,210
Orange Business Services,211
Katena Cloud Consulting,212
Aptara,213
Caltech,214
AT&T Bell Laboratories,215
Sun Microsystems,216
