m_urn,emo_anger,emo_disgust,emo_fear,emo_happiness,emo_neutral,emo_sadness,emo_surprise
urn:li:member:149435456,0.766,0.007,0.007,99.035,0.086,0.007,0.091
urn:li:member:229333701,0.008,0.359,0.008,93.705,5.824,0.009,0.088
urn:li:member:40477324,0.0,0.0,0.0,99.093,0.907,0.0,0.0
urn:li:member:21247690,0.0,0.0,0.0,99.986,0.013,0.0,0.001
urn:li:member:242690712,0.0,0.0,0.0,99.941,0.059,0.0,0.0
urn:li:member:13199963,0.003,0.003,0.003,99.549,0.367,0.022,0.054
urn:li:member:24792486,0.198,0.068,37.998,54.314,0.105,7.153,0.164
urn:li:member:84059796,0.0,0.0,0.0,99.998,0.001,0.0,0.001
urn:li:member:47179431,0.015,0.018,0.106,44.044,55.759,0.024,0.035
urn:li:member:218025869,0.266,0.035,15.784,0.046,5.038,0.035,78.797
urn:li:member:1879318,0.001,0.001,0.333,99.651,0.001,0.002,0.011
urn:li:member:21795435,0.116,0.011,0.011,91.616,8.106,0.011,0.129
urn:li:member:283982908,0.003,0.048,0.003,0.975,98.81,0.003,0.158
urn:li:member:1532766,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:186396979,0.0,0.001,0.015,99.983,0.0,0.0,0.0
urn:li:member:24908241,0.002,0.005,0.0,99.94,0.052,0.0,0.0
urn:li:member:21696284,0.001,0.001,0.001,0.402,99.582,0.003,0.012
urn:li:member:10547356,0.079,0.252,0.079,10.045,69.031,0.079,20.435
urn:li:member:159777730,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:31209534,0.209,0.963,0.15,23.189,59.335,0.105,16.05
urn:li:member:16804582,0.235,0.001,0.135,99.567,0.001,0.06,0.001
urn:li:member:101909087,0.001,0.002,0.001,2.882,97.114,0.001,0.001
urn:li:member:85576595,0.004,0.521,0.004,97.842,0.004,1.621,0.004
urn:li:member:14121021,0.0,0.0,0.0,99.979,0.021,0.0,0.0
urn:li:member:46111897,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:5341427,58.495,25.182,1.338,0.575,14.336,0.031,0.043
urn:li:member:6898651,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:42001391,0.016,0.071,0.016,0.562,98.326,0.625,0.383
urn:li:member:154621,0.004,0.004,0.004,99.566,0.029,0.338,0.053
urn:li:member:480707795,0.0,0.0,0.001,99.989,0.004,0.001,0.005
urn:li:member:2983031,0.005,0.46,0.005,27.43,72.091,0.005,0.005
urn:li:member:158613083,0.0,0.003,0.0,99.985,0.011,0.0,0.0
urn:li:member:116669284,0.001,0.003,0.03,99.965,0.0,0.0,0.001
urn:li:member:42305978,0.0,0.0,0.023,99.976,0.0,0.0,0.001
urn:li:member:100306125,1.722,0.007,0.247,97.191,0.005,0.822,0.005
urn:li:member:138557403,0.001,0.0,0.0,99.995,0.004,0.0,0.0
urn:li:member:17444339,0.035,0.1,0.035,97.988,0.399,1.081,0.363
urn:li:member:154638431,0.014,0.014,0.014,0.552,88.849,5.038,5.519
urn:li:member:6455206,10.155,2.254,1.13,0.147,85.273,0.957,0.084
urn:li:member:24966215,0.014,97.114,0.005,0.088,1.327,1.446,0.005
urn:li:member:3820522,0.071,0.005,0.021,99.87,0.012,0.005,0.016
urn:li:member:5498735,0.003,0.017,0.006,97.981,1.78,0.21,0.003
urn:li:member:2702672,0.002,0.0,0.0,0.677,99.319,0.0,0.0
urn:li:member:1090350,0.157,0.068,0.257,1.423,62.503,0.071,35.521
urn:li:member:91345898,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:31833116,0.057,0.0,0.001,99.858,0.0,0.082,0.0
urn:li:member:23113746,0.004,0.079,0.028,0.034,0.215,99.625,0.015
urn:li:member:3845740,0.0,0.0,0.0,99.963,0.0,0.01,0.026
urn:li:member:24877080,0.023,0.026,0.017,99.838,0.028,0.007,0.061
urn:li:member:147592966,2.027,0.164,0.164,1.97,90.621,3.025,2.029
urn:li:member:372531,0.006,83.132,0.005,15.797,1.05,0.005,0.005
urn:li:member:65398612,0.001,0.002,0.001,99.926,0.069,0.001,0.001
urn:li:member:11404065,0.0,0.0,0.0,99.994,0.005,0.0,0.0
