m_urn,beauty,beauty_female,beauty_male,blur,blur_gaussian,blur_motion,face_quality,smile,glass,head_pitch,head_roll,head_yaw,mouth_close,mouth_open,mouth_mask,mouth_other,skin_acne,skin_dark_circle,skin_health,skin_stain
urn:li:member:149435456,57.57,63.829,57.57,0.421,0.421,0.421,67.662,77.536,Normal,7.7350483,-5.195693,12.394546,100.0,0.0,0.0,0.0,0.734,3.295,34.366,1.411
urn:li:member:229333701,61.982,62.304,61.982,0.249,0.249,0.249,94.064,73.185,Normal,-0.36690667,-6.3737774,1.7485394,100.0,0.0,0.0,0.0,13.554,2.534,1.226,20.78
urn:li:member:40477324,81.561,81.561,79.763,0.568,0.568,0.568,93.239,68.108,None,4.4533515,7.705469,-1.5286509,100.0,0.0,0.0,0.0,0.994,1.94,88.875,8.978
urn:li:member:21247690,42.433,42.433,38.245,0.115,0.115,0.115,94.165,95.088,None,0.18015136,3.3265357,1.6755998,0.006,99.994,0.0,0.0,5.178,2.393,16.334,13.211
urn:li:member:242690712,58.47,60.259,58.47,0.071,0.071,0.071,84.788,85.267,Normal,2.7909825,-2.125828,-8.721786,0.0,100.0,0.0,0.0,24.581,10.069,1.018,24.423
urn:li:member:13199963,72.897,71.899,72.897,0.633,0.633,0.633,66.633,92.296,None,16.78602,-4.536727,9.0055275,99.844,0.0,0.0,0.156,0.381,97.194,5.489,0.877
urn:li:member:24792486,62.665,60.574,62.665,99.646,99.646,99.646,0.006,64.874,None,4.30511,14.440294,-9.678058,0.134,95.203,0.004,4.659,28.112,7.564,0.222,23.032
urn:li:member:84059796,56.299,56.79,56.299,0.126,0.126,0.126,45.724,94.729,None,7.284026,-0.90455633,15.967073,0.0,100.0,0.0,0.0,0.435,4.745,32.384,0.943
urn:li:member:47179431,72.542,79.638,72.542,0.562,0.562,0.562,12.048,29.618,None,-1.7080767,-6.4194646,21.281048,99.995,0.005,0.0,0.0,2.526,2.812,10.996,20.297
urn:li:member:218025869,55.428,58.373,55.428,0.354,0.354,0.354,90.013,3.09,None,-0.8757515,1.059976,-6.1204205,100.0,0.0,0.0,0.0,24.366,15.306,6.162,99.443
urn:li:member:1879318,55.368,60.569,55.368,0.502,0.502,0.502,64.796,95.441,None,1.6837158,-7.4677215,13.846888,0.002,99.991,0.0,0.007,17.69,9.232,0.903,59.009
urn:li:member:21795435,49.679,52.563,49.679,0.366,0.366,0.366,88.179,56.168,None,3.6458738,2.8097966,-6.742615,100.0,0.0,0.0,0.0,4.075,0.785,1.652,9.598
urn:li:member:283982908,72.834,72.834,71.612,0.339,0.339,0.339,52.815,29.244,None,3.987305,6.6944633,-15.413888,99.644,0.1,0.0,0.256,5.223,4.912,93.98,0.967
urn:li:member:1532766,57.817,56.343,57.817,0.203,0.203,0.203,93.238,96.83,Normal,4.750886,-6.6708393,-1.5493542,0.0,100.0,0.0,0.0,1.677,2.87,30.139,7.65
urn:li:member:186396979,69.477,73.564,69.477,2.197,2.197,2.197,87.967,91.417,None,7.887719,-5.3483205,4.965286,0.01,99.988,0.0,0.002,88.644,54.202,0.808,56.406
urn:li:member:24908241,50.967,58.271,50.967,8.214,8.214,8.214,73.749,91.815,None,-3.7687557,3.2871,-10.41412,0.009,99.991,0.0,0.0,2.957,5.913,2.389,2.859
urn:li:member:21696284,74.613,78.934,74.613,0.434,0.434,0.434,83.69,10.69,None,4.3093967,-20.011133,8.790105,99.959,0.041,0.0,0.0,66.992,11.912,1.668,72.441
urn:li:member:10547356,60.014,59.421,60.014,0.36,0.36,0.36,86.769,28.164,None,5.15659,-10.114272,7.162515,0.0,100.0,0.0,0.0,15.7,2.742,1.802,34.001
urn:li:member:159777730,57.412,58.851,57.412,2.247,2.247,2.247,91.513,96.206,Normal,9.873934,10.234402,0.032945417,0.002,99.998,0.0,0.0,0.201,5.06,14.862,0.908
urn:li:member:31209534,67.474,70.324,67.474,0.423,0.423,0.423,75.946,14.052,None,3.465125,9.011854,-11.377699,99.998,0.001,0.0,0.001,9.814,1.674,6.46,12.731
urn:li:member:16804582,57.034,59.397,57.034,0.031,0.031,0.031,64.596,85.535,None,12.284187,1.4170103,11.801756,0.046,99.84,0.008,0.106,2.159,2.364,34.978,11.599
urn:li:member:101909087,61.077,63.7,61.077,6.912,6.912,6.912,92.032,58.568,None,3.4134462,-7.746006,-0.89062417,99.995,0.004,0.0,0.001,0.426,10.373,21.385,13.159
urn:li:member:85576595,70.275,71.309,70.275,3.103,3.103,3.103,76.536,91.135,None,7.21662,7.352482,-9.958872,0.027,40.102,0.161,59.711,1.511,2.892,53.127,0.754
urn:li:member:14121021,61.53,69.548,61.53,0.263,0.263,0.263,80.735,68.663,None,9.800059,-5.355076,8.36347,100.0,0.0,0.0,0.0,11.483,32.943,21.078,8.078
urn:li:member:46111897,60.53,60.53,63.851,1.983,1.983,1.983,72.882,92.882,None,1.8233641,12.408515,-12.073645,0.001,99.999,0.0,0.0,3.343,1.32,29.292,16.425
urn:li:member:5341427,43.552,52.861,43.552,0.407,0.407,0.407,80.774,4.617,None,3.8197465,-3.7281697,9.948875,99.996,0.0,0.0,0.004,2.125,6.022,0.48,93.906
urn:li:member:6898651,70.731,79.073,70.731,0.04,0.04,0.04,88.184,97.869,None,2.704298,-8.239604,7.0401325,0.698,99.301,0.0,0.0,22.207,79.572,0.5,54.431
urn:li:member:42001391,32.435,36.977,32.435,98.675,98.675,98.675,0.006,3.654,None,-8.940104,-1.1947706,10.435103,99.999,0.0,0.0,0.001,10.83,52.679,0.136,11.26
urn:li:member:154621,50.77,54.546,50.77,0.069,0.069,0.069,91.984,90.456,Normal,0.9697101,-5.067075,4.4557586,0.001,99.998,0.0,0.001,5.357,4.106,7.091,31.236
urn:li:member:480707795,47.092,47.092,49.443,1.291,1.291,1.291,72.851,68.64,None,5.892136,-6.9024754,-11.538557,0.011,99.989,0.0,0.0,13.147,13.434,5.026,22.125
urn:li:member:2983031,43.555,41.51,43.555,0.745,0.745,0.745,88.402,20.573,Normal,2.3672326,-0.37334496,6.8050613,77.579,22.324,0.0,0.097,3.046,4.359,11.959,11.251
urn:li:member:158613083,79.468,85.776,79.468,0.977,0.977,0.977,69.284,91.587,None,13.468501,-3.0840223,10.122903,4.968,95.032,0.0,0.0,1.751,6.273,10.963,6.554
urn:li:member:116669284,39.035,47.286,39.035,6.672,6.672,6.672,90.24,85.18,None,0.010563741,0.28581864,4.1301775,0.0,100.0,0.0,0.0,1.293,31.924,0.883,4.29
urn:li:member:42305978,68.956,68.956,66.769,1.079,1.079,1.079,48.812,97.473,None,6.8115697,31.729143,-15.510379,0.0,100.0,0.0,0.0,4.07,19.341,6.82,7.319
urn:li:member:100306125,72.365,72.365,69.135,1.421,1.421,1.421,89.518,78.535,None,6.272051,6.4148564,4.68459,0.0,100.0,0.0,0.0,3.493,3.221,36.073,4.248
urn:li:member:138557403,55.549,56.227,55.549,0.708,0.708,0.708,92.422,98.756,None,8.183956,7.399791,-0.67065203,0.0,100.0,0.0,0.0,2.341,5.439,3.622,5.582
urn:li:member:17444339,60.712,63.528,60.712,0.217,0.217,0.217,87.968,29.827,Dark,-0.13761465,7.444373,-7.598535,0.091,4.305,95.401,0.203,80.601,33.184,1.015,15.654
urn:li:member:154638431,68.433,65.447,68.433,0.339,0.339,0.339,93.219,9.209,None,6.662337,-0.09770728,-0.4816521,99.999,0.001,0.0,0.0,3.421,16.21,17.874,3.178
