m_urn,age,gender,ethnicity,nationality,n_followers
urn:li:member:149435456,37,Male,Asian,east_asian,420
urn:li:member:229333701,52,Male,White,celtic_english,311
urn:li:member:40477324,28,Female,Asian,east_asian,331
urn:li:member:21247690,48,Female,White,european,584
urn:li:member:242690712,37,Male,Asian,east_asian,117
urn:li:member:13199963,46,Male,White,european,279
urn:li:member:24792486,35,Male,White,european,1186
urn:li:member:84059796,37,Male,White,celtic_english,1168
urn:li:member:47179431,43,Male,White,celtic_english,985
urn:li:member:218025869,36,Male,White,celtic_english,172
urn:li:member:1879318,50,Male,White,european,1080
urn:li:member:21795435,46,Male,White,celtic_english,300
urn:li:member:283982908,30,Female,Asian,african,0
urn:li:member:1532766,42,Male,Asian,celtic_english,2851
urn:li:member:186396979,41,Male,Black,muslim,1364
urn:li:member:24908241,54,Male,White,celtic_english,756
urn:li:member:21696284,25,Male,Black,south_asian,1323
urn:li:member:10547356,23,Male,Asian,east_asian,1440
urn:li:member:159777730,40,Male,White,south_asian,1442
urn:li:member:31209534,45,Male,White,muslim,2083
urn:li:member:16804582,69,Male,White,celtic_english,828
urn:li:member:101909087,50,Male,White,european,241
urn:li:member:85576595,26,Male,White,south_asian,582
urn:li:member:14121021,40,Male,White,celtic_english,793
urn:li:member:46111897,52,Female,White,celtic_english,1408
urn:li:member:5341427,59,Male,White,nordic,0
urn:li:member:6898651,51,Male,White,nordic,1221
urn:li:member:42001391,39,Male,White,south_asian,2281
urn:li:member:154621,36,Male,White,south_asian,1152
urn:li:member:480707795,37,Female,Asian,european,614
urn:li:member:2983031,42,Male,White,muslim,267
urn:li:member:158613083,49,Male,White,celtic_english,636
urn:li:member:116669284,47,Male,White,nordic,193
urn:li:member:42305978,40,Female,White,east_asian,872
urn:li:member:100306125,47,Female,White,european,734
urn:li:member:138557403,28,Male,Asian,hispanic,390
urn:li:member:17444339,69,Male,White,south_asian,831
urn:li:member:154638431,19,Male,Asian,celtic_english,104
urn:li:member:6455206,49,Female,White,celtic_english,5436
urn:li:member:24966215,53,Male,White,celtic_english,1156
urn:li:member:3820522,43,Male,White,celtic_english,597
urn:li:member:5498735,38,Male,White,celtic_english,770
urn:li:member:2702672,54,Female,White,celtic_english,773
urn:li:member:1090350,41,Male,White,celtic_english,2667
urn:li:member:91345898,46,Male,Asian,european,893
urn:li:member:31833116,40,Male,White,south_asian,1199
urn:li:member:23113746,56,Male,White,celtic_english,128
urn:li:member:3845740,54,Male,White,nordic,1870
urn:li:member:24877080,46,Male,Black,south_asian,364
urn:li:member:147592966,32,Male,Asian,hispanic,539
urn:li:member:372531,56,Male,White,celtic_english,400
urn:li:member:65398612,45,Male,White,european,939
urn:li:member:11404065,52,Male,Black,south_asian,1137
urn:li:member:25239075,53,Male,White,celtic_english,343
urn:li:member:86971604,49,Male,White,celtic_english,293
urn:li:member:69595382,42,Male,White,european,246
urn:li:member:3231058,37,Male,White,european,891
urn:li:member:105834790,27,Male,White,celtic_english,183
urn:li:member:158971528,42,Male,White,muslim,1387
urn:li:member:54595120,36,Male,White,east_asian,703
urn:li:member:8283083,57,Female,White,european,972
urn:li:member:100951344,49,Male,Black,nordic,461
urn:li:member:53594141,34,Male,Black,south_asian,451
urn:li:member:17552893,38,Male,Black,east_asian,1278
urn:li:member:40171800,26,Female,White,muslim,467
urn:li:member:1550137,35,Male,White,celtic_english,427
urn:li:member:1170724,43,Male,White,south_asian,2919
urn:li:member:11105192,51,Male,White,celtic_english,3064
urn:li:member:230968860,52,Female,White,celtic_english,245
urn:li:member:124676237,43,Female,White,hispanic,728
urn:li:member:97278338,45,Female,White,celtic_english,688
urn:li:member:64278544,31,Male,Asian,east_asian,659
urn:li:member:239316135,23,Female,White,hispanic,377
urn:li:member:5694882,53,Male,White,celtic_english,363
urn:li:member:10293152,43,Male,Black,south_asian,686
urn:li:member:87073592,49,Male,White,hispanic,1325
urn:li:member:35344696,47,Male,Black,south_asian,360
urn:li:member:12942701,53,Male,White,european,207
urn:li:member:32888110,45,Male,White,celtic_english,420
urn:li:member:6802670,43,Male,White,celtic_english,1324
urn:li:member:513526,24,Male,White,celtic_english,664
urn:li:member:139366364,39,Male,White,european,362
urn:li:member:10754003,32,Male,White,celtic_english,325
urn:li:member:66918,51,Male,White,nordic,917
urn:li:member:99549278,65,Male,White,celtic_english,296
urn:li:member:34119363,38,Male,Black,south_asian,400
urn:li:member:21062839,46,Male,White,hispanic,1604
urn:li:member:32120722,40,Male,White,south_asian,526
urn:li:member:75968497,50,Male,White,european,135
urn:li:member:3004,51,Male,White,celtic_english,1176
urn:li:member:3542018,19,Male,Asian,south_asian,0
urn:li:member:10255325,52,Female,White,celtic_english,96
urn:li:member:61481684,47,Female,White,muslim,2423
urn:li:member:19646536,49,Male,White,celtic_english,634
urn:li:member:242707540,37,Male,White,european,0
urn:li:member:67312981,36,Male,White,east_asian,55
urn:li:member:236952783,26,Male,Asian,east_asian,592
urn:li:member:13888058,45,Male,White,celtic_english,910
urn:li:member:10460759,35,Male,White,celtic_english,413
urn:li:member:7605808,41,Male,White,celtic_english,970
urn:li:member:16187178,60,Female,White,hispanic,1739
urn:li:member:7253113,52,Male,White,south_asian,4033
urn:li:member:185634643,51,Male,Black,european,777
urn:li:member:2307004,41,Male,Asian,european,897
urn:li:member:108443043,44,Male,White,european,309
urn:li:member:3407867,46,Male,White,hispanic,0
urn:li:member:7694960,29,Male,Asian,east_asian,187
urn:li:member:298522364,53,Female,White,celtic_english,603
urn:li:member:8425313,55,Male,White,european,1995
urn:li:member:115601422,38,Female,White,south_asian,1265
urn:li:member:71679226,28,Male,Asian,east_asian,886
urn:li:member:87050505,54,Female,White,celtic_english,72
urn:li:member:17857755,50,Male,White,celtic_english,887
urn:li:member:29791326,55,Male,White,celtic_english,0
urn:li:member:126961764,31,Female,Asian,east_asian,311
urn:li:member:4660262,44,Male,White,south_asian,972
urn:li:member:6754276,51,Female,White,celtic_english,2031
urn:li:member:3396732,48,Male,White,celtic_english,0
urn:li:member:60618215,53,Female,White,celtic_english,648
urn:li:member:225510910,59,Female,White,celtic_english,83
urn:li:member:21633329,25,Male,Asian,celtic_english,2989
urn:li:member:6367286,61,Male,White,celtic_english,261
urn:li:member:382068939,41,Male,White,celtic_english,1178
urn:li:member:2382403,30,Male,White,celtic_english,522
urn:li:member:13610301,41,Male,Black,muslim,4127
urn:li:member:419081,59,Male,White,muslim,1075
urn:li:member:7312590,32,Male,White,celtic_english,1605
urn:li:member:19496343,49,Male,White,south_asian,521
urn:li:member:206866,51,Male,White,european,1240
urn:li:member:4592614,43,Male,White,european,325
urn:li:member:41192532,46,Male,White,celtic_english,1398
urn:li:member:19221421,46,Male,White,south_asian,393
urn:li:member:454853507,26,Female,Asian,east_asian,682
urn:li:member:12070921,40,Male,White,celtic_english,2740
urn:li:member:45773615,47,Male,White,celtic_english,234
urn:li:member:139182161,37,Male,White,muslim,1122
urn:li:member:193252816,26,Male,White,hispanic,788
urn:li:member:14088691,44,Male,White,european,768
urn:li:member:6565592,42,Male,White,east_asian,1087
urn:li:member:17091271,46,Female,White,celtic_english,490
urn:li:member:590239703,34,Female,White,south_asian,135
urn:li:member:82095361,42,Male,White,south_asian,0
urn:li:member:30732220,51,Female,White,celtic_english,879
urn:li:member:193852426,36,Male,White,european,907
urn:li:member:130670332,24,Male,Asian,east_asian,324
urn:li:member:24553630,44,Male,White,hispanic,731
urn:li:member:59976328,31,Male,Asian,hispanic,606
urn:li:member:57650945,30,Female,Asian,celtic_english,712
urn:li:member:24851768,64,Male,White,european,578
urn:li:member:32330,42,Male,White,celtic_english,17054
urn:li:member:7560092,46,Male,White,hispanic,918
urn:li:member:230067906,54,Male,White,muslim,575
urn:li:member:13064916,59,Male,White,hispanic,578
urn:li:member:111180990,65,Female,White,celtic_english,681
urn:li:member:12596202,40,Male,White,south_asian,1077
urn:li:member:55350201,23,Female,Asian,east_asian,554
urn:li:member:10723448,47,Female,White,celtic_english,301
urn:li:member:106143766,33,Female,White,south_asian,0
urn:li:member:4101709,27,Male,Asian,east_asian,762
urn:li:member:42885384,22,Female,White,european,1521
urn:li:member:102496183,39,Male,White,european,412
urn:li:member:46011921,49,Male,White,celtic_english,287
urn:li:member:3072570,28,Male,Asian,east_asian,1995
urn:li:member:7591797,34,Male,Black,south_asian,657
urn:li:member:3642425,50,Male,White,celtic_english,1642
urn:li:member:175011710,36,Female,Asian,east_asian,308
urn:li:member:231715763,39,Male,White,celtic_english,374
urn:li:member:182837358,36,Female,White,european,922
urn:li:member:4061200,58,Male,White,celtic_english,520
urn:li:member:111264467,57,Male,White,celtic_english,489
urn:li:member:4750580,61,Male,White,celtic_english,1831
