pos_id,m_urn,c_id,n_pos,n_prev_tenures,tenure_len,avg_prev_tenure_len,avg_n_pos_per_prev_tenure,avg_pos_len
0,urn:li:member:149435456,1,1,1,457.0,1338.0,2.0,457.0
1,urn:li:member:149435456,2,1,2,212.0,897.5,1.5,212.0
2,urn:li:member:149435456,3,1,3,243.0,669.0,1.3333333333333333,243.0
3,urn:li:member:149435456,4,1,4,123.0,562.5,1.25,123.0
4,urn:li:member:149435456,5,1,5,244.0,474.6,1.2,244.0
5,urn:li:member:149435456,6,1,6,304.0,436.1666666666667,1.1666666666666667,304.0
6,urn:li:member:149435456,1,1,1,457.0,1338.0,2.0,457.0
7,urn:li:member:149435456,2,1,2,212.0,897.5,1.5,212.0
8,urn:li:member:149435456,3,1,3,243.0,669.0,1.3333333333333333,243.0
9,urn:li:member:149435456,4,1,4,123.0,562.5,1.25,123.0
10,urn:li:member:149435456,5,1,5,244.0,474.6,1.2,244.0
11,urn:li:member:149435456,6,1,6,304.0,436.1666666666667,1.1666666666666667,304.0
12,urn:li:member:229333701,6,1,1,1430.0,1430.0,1.0,1430.0
13,urn:li:member:229333701,7,1,2,1095.0,1430.0,1.0,1095.0
14,urn:li:member:229333701,8,1,3,2799.0,1318.3333333333333,1.0,2799.0
15,urn:li:member:229333701,6,1,1,1430.0,1430.0,1.0,1430.0
16,urn:li:member:229333701,7,1,2,1095.0,1430.0,1.0,1095.0
17,urn:li:member:229333701,8,1,3,2799.0,1318.3333333333333,1.0,2799.0
18,urn:li:member:40477324,9,1,1,393.0,1888.0,1.0,393.0
19,urn:li:member:40477324,6,1,2,1003.0,1140.5,1.0,1003.0
20,urn:li:member:40477324,9,1,1,393.0,1888.0,1.0,393.0
21,urn:li:member:40477324,6,1,2,1003.0,1140.5,1.0,1003.0
22,urn:li:member:21247690,10,1,1,730.0,731.0,1.0,730.0
23,urn:li:member:21247690,11,1,2,912.0,730.5,1.0,912.0
24,urn:li:member:21247690,12,1,3,578.0,791.0,1.0,578.0
25,urn:li:member:21247690,13,1,4,640.0,737.75,1.0,640.0
26,urn:li:member:21247690,14,2,5,547.0,718.2,1.0,273.5
27,urn:li:member:21247690,15,1,6,670.0,689.6666666666666,1.1666666666666667,670.0
28,urn:li:member:21247690,6,1,7,1340.0,686.8571428571429,1.1428571428571428,1340.0
29,urn:li:member:21247690,10,1,1,730.0,731.0,1.0,730.0
30,urn:li:member:21247690,11,1,2,912.0,730.5,1.0,912.0
31,urn:li:member:21247690,12,1,3,578.0,791.0,1.0,578.0
32,urn:li:member:21247690,13,1,4,640.0,737.75,1.0,640.0
33,urn:li:member:21247690,14,2,5,547.0,718.2,1.0,273.5
34,urn:li:member:21247690,15,1,6,670.0,689.6666666666666,1.1666666666666667,670.0
35,urn:li:member:21247690,6,1,7,1340.0,686.8571428571429,1.1428571428571428,1340.0
36,urn:li:member:242690712,16,2,1,276.0,92.0,1.0,138.0
37,urn:li:member:242690712,16,2,1,276.0,92.0,1.0,138.0
38,urn:li:member:13199963,17,1,1,334.0,334.0,1.0,334.0
39,urn:li:member:13199963,6,1,2,1795.0,334.0,1.0,1795.0
40,urn:li:member:13199963,17,1,1,334.0,334.0,1.0,334.0
41,urn:li:member:13199963,6,1,2,1795.0,334.0,1.0,1795.0
42,urn:li:member:24792486,18,1,1,334.0,1096.0,1.0,334.0
43,urn:li:member:24792486,19,1,2,304.0,715.0,1.0,304.0
44,urn:li:member:24792486,6,2,3,792.0,578.0,1.0,396.0
45,urn:li:member:24792486,18,1,1,334.0,1096.0,1.0,334.0
46,urn:li:member:24792486,19,1,2,304.0,715.0,1.0,304.0
47,urn:li:member:24792486,6,2,3,792.0,578.0,1.0,396.0
48,urn:li:member:84059796,20,1,1,335.0,3256.0,1.0,335.0
49,urn:li:member:84059796,21,1,2,1064.0,1795.5,1.0,1064.0
50,urn:li:member:84059796,6,1,3,334.0,1551.6666666666667,1.0,334.0
51,urn:li:member:84059796,22,1,4,700.0,1247.25,1.0,700.0
52,urn:li:member:84059796,23,1,5,335.0,1137.8,1.0,335.0
53,urn:li:member:84059796,24,1,6,700.0,1004.0,1.0,700.0
54,urn:li:member:84059796,20,1,1,335.0,3256.0,1.0,335.0
55,urn:li:member:84059796,21,1,2,1064.0,1795.5,1.0,1064.0
56,urn:li:member:84059796,6,1,3,334.0,1551.6666666666667,1.0,334.0
57,urn:li:member:84059796,22,1,4,700.0,1247.25,1.0,700.0
58,urn:li:member:84059796,23,1,5,335.0,1137.8,1.0,335.0
59,urn:li:member:84059796,24,1,6,700.0,1004.0,1.0,700.0
60,urn:li:member:47179431,15,1,1,516.0,214.0,1.0,516.0
61,urn:li:member:47179431,25,2,2,1401.0,365.0,1.0,700.5
62,urn:li:member:47179431,26,1,3,1127.0,710.3333333333334,1.3333333333333333,1127.0
63,urn:li:member:47179431,27,1,4,365.0,814.5,1.25,365.0
64,urn:li:member:47179431,28,1,5,245.0,724.6,1.2,245.0
65,urn:li:member:47179431,15,1,1,516.0,214.0,1.0,516.0
66,urn:li:member:47179431,25,2,2,1401.0,365.0,1.0,700.5
67,urn:li:member:47179431,26,1,3,1127.0,710.3333333333334,1.3333333333333333,1127.0
68,urn:li:member:47179431,27,1,4,365.0,814.5,1.25,365.0
69,urn:li:member:47179431,28,1,5,245.0,724.6,1.2,245.0
70,urn:li:member:218025869,29,1,1,243.0,639.0,1.0,243.0
71,urn:li:member:218025869,6,2,2,304.0,441.0,1.0,152.0
72,urn:li:member:218025869,30,1,3,62.0,395.3333333333333,1.3333333333333333,62.0
73,urn:li:member:218025869,31,1,4,153.0,312.0,1.25,153.0
74,urn:li:member:218025869,29,1,1,243.0,639.0,1.0,243.0
75,urn:li:member:218025869,6,2,2,304.0,441.0,1.0,152.0
76,urn:li:member:218025869,30,1,3,62.0,395.3333333333333,1.3333333333333333,62.0
77,urn:li:member:218025869,31,1,4,153.0,312.0,1.25,153.0
78,urn:li:member:1879318,32,1,1,1035.0,1704.0,1.0,1035.0
79,urn:li:member:1879318,33,1,2,731.0,1369.5,1.0,731.0
80,urn:li:member:1879318,34,1,3,638.0,1156.6666666666667,1.0,638.0
81,urn:li:member:1879318,35,1,4,1369.0,1027.0,1.0,1369.0
82,urn:li:member:1879318,36,2,5,1124.0,1095.4,1.0,562.0
83,urn:li:member:1879318,6,3,6,1673.0,1100.1666666666667,1.1666666666666667,557.6667
84,urn:li:member:1879318,37,1,7,243.0,1182.0,1.4285714285714286,243.0
85,urn:li:member:1879318,32,1,1,1035.0,1704.0,1.0,1035.0
86,urn:li:member:1879318,33,1,2,731.0,1369.5,1.0,731.0
87,urn:li:member:1879318,34,1,3,638.0,1156.6666666666667,1.0,638.0
88,urn:li:member:1879318,35,1,4,1369.0,1027.0,1.0,1369.0
89,urn:li:member:1879318,36,2,5,1124.0,1095.4,1.0,562.0
90,urn:li:member:1879318,6,3,6,1673.0,1100.1666666666667,1.1666666666666667,557.6667
