m_urn,gender,age,beauty
urn:li:member:96968874,Male,37,92.431
urn:li:member:377009408,Male,26,91.446
urn:li:member:96262482,Male,51,90.823
urn:li:member:74598488,Male,26,90.797
urn:li:member:196485665,Male,26,90.673
urn:li:member:22285946,Female,50,90.127
urn:li:member:88426021,Male,35,90.116
urn:li:member:4061204,Male,42,90.098
urn:li:member:1078001,Male,32,89.766
urn:li:member:472277096,Male,35,89.564
urn:li:member:11892382,Male,39,89.414
urn:li:member:45643440,Male,33,89.333
urn:li:member:155879420,Male,32,89.11
urn:li:member:325590921,Male,10,89.087
urn:li:member:7304075,Male,40,89.036
urn:li:member:18088755,Female,24,88.982
urn:li:member:52814959,Male,31,88.882
urn:li:member:23331156,Male,41,88.739
urn:li:member:104685366,Male,40,88.678
urn:li:member:47933040,Male,26,88.609
urn:li:member:520909569,Male,15,88.577
urn:li:member:210664474,Male,42,88.48
urn:li:member:5208281,Male,31,88.358
urn:li:member:398132561,Male,36,88.06
urn:li:member:84069109,Male,31,87.997
urn:li:member:187342260,Male,42,87.737
urn:li:member:248201052,Female,21,87.67
urn:li:member:5423144,Female,35,87.577
urn:li:member:95342208,Male,37,87.512
urn:li:member:6857276,Male,32,87.512
urn:li:member:279714789,Female,34,87.454
urn:li:member:5351162,Male,38,87.433
urn:li:member:235214622,Female,39,87.376
urn:li:member:54205514,Female,39,87.339
urn:li:member:296989917,Male,31,87.304
urn:li:member:3141335,Male,35,87.268
urn:li:member:29164852,Male,37,87.141
urn:li:member:159677557,Male,38,87.141
urn:li:member:61053173,Male,43,87.137
urn:li:member:268179073,Male,44,87.089
urn:li:member:604653381,Male,22,87.055
urn:li:member:73377183,Male,39,86.949
urn:li:member:10704940,Female,48,86.914
urn:li:member:850523,Female,44,86.79
urn:li:member:131000269,Male,43,86.732
urn:li:member:108370717,Male,41,86.672
urn:li:member:3072570,Male,28,86.669
urn:li:member:106158673,Male,28,86.633
urn:li:member:170309,Male,36,86.599
urn:li:member:1622080,Female,31,86.545
urn:li:member:6741958,Female,50,86.521
urn:li:member:39360464,Female,20,86.488
urn:li:member:73693609,Male,30,86.477
urn:li:member:135522972,Female,46,86.443
urn:li:member:128205154,Male,18,86.443
urn:li:member:109566920,Male,39,86.387
urn:li:member:48627506,Male,23,86.368
urn:li:member:10786374,Female,50,86.353
urn:li:member:100714765,Male,36,86.35
urn:li:member:136369547,Female,21,86.347
urn:li:member:62482558,Male,24,86.344
urn:li:member:62946051,Female,55,86.328
urn:li:member:182286773,Male,45,86.306
urn:li:member:10154043,Male,53,86.304
urn:li:member:464224138,Male,28,86.257
urn:li:member:37068951,Male,41,86.216
urn:li:member:8866420,Male,38,86.215
urn:li:member:30068200,Male,33,86.108
urn:li:member:192181792,Male,44,86.103
urn:li:member:89882859,Male,35,86.083
urn:li:member:139236690,Male,51,86.059
urn:li:member:4294622,Male,44,86.015
urn:li:member:184163700,Male,23,85.994
urn:li:member:26723543,Male,39,85.903
urn:li:member:591606171,Female,45,85.875
urn:li:member:8300744,Male,33,85.86
urn:li:member:16636964,Male,25,85.754
urn:li:member:16395623,Male,19,85.662
urn:li:member:34011249,Male,40,85.651
urn:li:member:122036740,Male,32,85.644
urn:li:member:177371567,Male,18,85.595
urn:li:member:85429066,Male,42,85.593
urn:li:member:264270582,Female,43,85.533
urn:li:member:45833916,Male,36,85.513
urn:li:member:12265023,Male,50,85.499
urn:li:member:47429382,Female,32,85.491
urn:li:member:4279269,Female,52,85.387
urn:li:member:16377868,Female,37,85.358
urn:li:member:144501434,Male,40,85.328
urn:li:member:74729099,Male,60,85.317
urn:li:member:20521334,Male,26,85.303
urn:li:member:7771164,Male,41,85.29
urn:li:member:231248026,Male,30,85.194
urn:li:member:214859883,Male,21,85.162
urn:li:member:17091271,Female,46,85.151
urn:li:member:423217347,Male,49,85.132
urn:li:member:146193668,Male,32,85.126
urn:li:member:5375403,Male,25,85.089
urn:li:member:1875471,Male,38,85.057
urn:li:member:75283578,Male,40,84.998
